Public Food Key,Name,Description
F005599,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 3.5%.
F005598,"Milk, cow, fluid, lactose free, reduced fat (1% fat)",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 1%.
F005581,"Milk, cow, canned, evaporated, regular",Canned milk prepared by evaporating approximately 60% of the water content of regular fat cows milk prior to sterilisation.
F005580,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",Canned milk prepared by evaporating approximately 60% of the water content of regular fat and skim cows milk prior to sterilisation. Formulated to have a fat content of 2%.
F005582,"Milk, cow, canned, sweetened, condensed, regular",Milk product prepared by adding sugar to regular fat cows milk prior to evaporation of approximately 50% of the water content. Includes both canned and tube varieties.
F005650,"Milk, powder, cow, regular fat, unfortified","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. May also contain lecithin."
F005649,"Milk, powder, cow, regular fat, added vitamins A & D","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. Contains added vitamins A and D. May also contain lecithin."
F005652,"Milk, powder, cow, skim","Cows skim milk powder, prepared by removing the majority of water from regular fat cows milk by spray drying."
F005647,"Milk, human/breast, mature, fluid",Mammary secretion of human mothers.
F003442,"Custard, vanilla, regular fat","Commercially produced regular fat vanilla flavoured custard. Major ingredients include regular fat milk, sugar, flavour and thickener. Custard does not contain eggs."
F003426,"Custard powder, vanilla, dry mix","Dry yellow powder used for making custard. Ingredients include cornflour, salt, colours and flavours."
F003441,"Custard, vanilla, prepared from dry mix",Vanilla custard prepared from commercial vanilla custard powder according to packet instructions.
F003488,"Dairy or yoghurt dessert, chocolate, regular fat","Commercially prepared, dairy product flavoured with chocolate and intended for use as a child's dessert. Typical ingredients include milk, sugar, cocoa, vegetable gums, salt, thickeners, emulsifiers and flavours."
F009694,"Yoghurt, natural, regular fat (3% fat)","Unflavoured (natural) yoghurt. Prepared by pasteurising and homogenising milk of various fat levels before culturing, resulting in a thickened, tangy yoghurt. Contains added milk powder. Formulated to have a fat content of approximately 4%. Does not contain fruit or flavouring."
F009608,"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)","Yoghurt with apricot pieces or flavour and added sugar. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 3%."
F009741,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)","Yoghurt with strawberry pieces or flavour and added sugar. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 3%."
F009749,"Yoghurt, vanilla flavoured, (2% fat)","Yoghurt that is sweetened and flavoured with vanilla. Prepared by culturing regular fat cows milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of approximately 2%."
F009752,"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)","Low fat yoghurt that is sweetened and flavoured with vanilla. Prepared by culturing low fat milk, resulting in a thickened, tangy yoghurt. Formulated to have a fat content of <0.5%."
F006132,"Oat beverage, fluid, unfortified","A dairy milk substitute made from filtered water, oats, sunflower oil and salt, without added vitamins and minerals."
F006131,"Oat beverage, fluid, added calcium","A dairy milk substitute made from filtered water, oats, sunflower oil and salt. Contains added calcium."
F007632,"Rice beverage, fluid, added calcium","A dairy milk substitute made from filtered water, brown rice, sunflower oil and salt. Contains added calcium."
F008721,"Soy beverage, regular fat (3% fat), unfortified","A dairy milk substitute prepared from soy beans with a fat content of 3%. Does not contain added vitamins, minerals or artificial flavouring substances."
F008719,"Soy beverage, regular fat (3% fat), added Ca",A dairy milk substitute prepared from soy beans with a fat content of 3%. Contains added calcium.
F008720,"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12","A dairy milk substitute prepared from soy beans with a fat content of 3%. Contains added calcium and vitamins A, B1, B2 and B12."
F008704,"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12","A dairy milk substitute prepared from soy beans with a reduced fat content of ~1%. Contains added calcium, potassium, magnesium, vitamins A, B1, B2 and B12."
F008155,"Sausage, vegetarian style, unfortified, raw","Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Does not contain added vitamins or minerals."
F008151,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw","Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Contains added iron, zinc and vitamin B12."
F008153,"Sausage, vegetarian style, fried, no added fat","Sausages made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. May contain added iron, zinc and vitamin B12. Cooked by frying with out added fat."
F009176,"Tofu (soy bean curd), firm, as purchased","Commercially prepared soy bean extract, that has set to a firm texture. Ingredients include water, soy beans, glucono-delta lactone, and nigari (magnesium chloride)."
F009738,"Yoghurt, soy based, berry flavoured, regular fat (3% fat)","Yoghurt-style sweet product based on soy milk rather than dairy milk, with added berry flavour and formulated to have a fat content of approximately 3%.."
F009739,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)","Yoghurt-style sweet product based on soy milk rather than dairy milk, with added vanilla flavour and formulated to have a fat content of approximately 1%."
F001973,"Butter, plain, salted","A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Contains added salt."
F001971,"Butter, plain, no added salt","A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Does not contain added salt."
F004205,"Ghee, clarified butter","Indian-style clarified butter containing at least 99.7% milk fat, used mainly in cooking."
F003466,"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil, with a fat content of approximately 80%. Contains added salt and vitamins A and D."
F003464,"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)","A spread that is a blend of approximately two-thirds butter and one-third vegetable oil, generally canola oil with a fat content of approximately 80%. Contains a lower salt content than regular dairy blend and added vitamins A and D."
F005370,"Margarine spread, polyunsaturated (70% fat)","A polyunsaturated edible oil spread containing approximately 70% fat, the majority of which are polyunsaturated edible oils (including sunflower oil). Contains added salt and vitamins A and D."
F005373,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",A polyunsaturated edible oil spread containing approximately 70% polyunsaturated edible oils (including sunflower oil). Formulated to have a reduced salt content. Contains added vitamins A and D.
F005322,"Margarine spread, monounsaturated (80% fat), rice bran oil, unfortified","A monounsaturated edible oil spread containing approximately 80% rice bran oil. Contains added salt, but does not contain added vitamins or minerals."
F005319,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols","A monounsaturated edible oil spread containing approximately 70% monounsaturated edible oils including canola oil, olive oil or blends of monounsaturated oils. Formulated to have a reduced salt content. Contains added vitamins A and D and phytosterols."
F005309,"Margarine spread, monounsaturated (greater than 65% fat)","A monounsaturated edible oil spread containing approximately 65%  or more edible oils including canola oil, olive oil or blends of monounsaturated oils. Contains added salt and vitamins A and D."
